Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,VYSPER-325,12608393,,Non-ASCII chars get crippled,brainlounge,brainlounge,Blocker,Resolved,Fixed,20/Sep/12 07:23,08/Oct/12 19:06,
Bug,VYSPER-288,12512016,,Announcing in-band registration although StartTLS might be required (first),niklas,brainlounge,Blocker,Closed,Fixed,28/Jun/11 16:29,04/Jul/11 21:04,
Bug,VYSPER-202,12463763,,Make Vysper report the correct version on Version-IQ request,brainlounge,brainlounge,Blocker,Closed,Fixed,05/May/10 12:25,28/Aug/10 14:05,
Task,VYSPER-203,12465436,,Record new dependencies from BOSH extension,niklas,brainlounge,Blocker,Closed,Fixed,26/May/10 07:46,26/Aug/10 14:29,
Improvement,VYSPER-192,12460516,,javadoc on org/apache/vysper/xmpp/delivery,brainlounge,vrm,Blocker,Resolved,Fixed,29/Mar/10 08:54,01/Apr/10 09:44,
Improvement,VYSPER-191,12460515,,roster javadoc,brainlounge,vrm,Blocker,Resolved,Fixed,29/Mar/10 08:51,29/Mar/10 15:33,
Bug,VYSPER-18,12381811,,Recognize and act upon closing stream tag,,brainlounge,Blocker,Open,,04/Nov/07 12:19,11/Mar/10 15:19,
Bug,VYSPER-351,12979865,,NonAnonymous and SemiAnonymous rooms do not expose real jid on room join,,lauri,Critical,Open,,16/Jun/16 15:58,16/Jun/16 16:06,
Bug,VYSPER-329,12610603,,"Server To Server inbound messages in jabber:server namespace, delivery fails",brainlounge,jspears,Critical,Resolved,Fixed,05/Oct/12 17:35,02/Jul/13 14:43,
Bug,VYSPER-316,12558813,,"MUC not processing presence with explicitly set type ""available"" ",,brainlounge,Critical,Resolved,Fixed,31/May/12 16:21,31/May/12 18:06,
Bug,VYSPER-82,12429027,,Namespace definitions aren't propagated to subelements.,niklas,mjakl,Critical,Closed,Fixed,27/Jun/09 19:18,16/Jan/11 15:36,
Bug,VYSPER-252,12474005,,Not well formed XML does not terminate XMPP stream,,brainlounge,Critical,Closed,Duplicate,13/Sep/10 20:59,08/Nov/10 16:00,
Bug,VYSPER-96,12429578,,"getNamespace and constructors with a ""namespace"" parameter are meant for the XML prefix. The pubsub module uses it as THE namespace.",mjakl,mjakl,Critical,Closed,Fixed,06/Jul/09 06:15,06/Jul/09 20:26,
Dependency upgrade,VYSPER-352,13277187,,Update hbase version to 2.2.2 ,,dirk.d,Major,Open,,02/Jan/20 11:15,02/Jan/20 11:15,
Bug,VYSPER-334,12616887,,"Plain.java doesn't decode correctly, error appears in multi-byte character;",brainlounge,wan_jm,Major,Resolved,Fixed,20/Nov/12 06:20,12/Jul/16 13:02,
Bug,VYSPER-349,12840814,,"New request is counted as ""Resend"" request",,azakshevskii,Major,Open,,26/Jun/15 11:56,26/Jun/15 11:58,
Bug,VYSPER-348,12828357,,Syntax error in DOAP file,,sebb,Major,Resolved,Fixed,08/May/15 12:56,08/May/15 15:32,
Improvement,VYSPER-345,12656163,,Move storage provider implementations to separate maven module,,brainlounge,Major,Resolved,Fixed,04/Jul/13 08:41,08/Jul/13 09:57,
New Feature,VYSPER-347,12656578,,Support HBase as a Vysper storage,brainlounge,brainlounge,Major,Resolved,Fixed,08/Jul/13 09:47,08/Jul/13 09:52,
Bug,VYSPER-344,12655575,,Server-to-server not working for Vysper to Vysper,brainlounge,brainlounge,Major,Resolved,Fixed,01/Jul/13 10:45,02/Jul/13 15:00,
Bug,VYSPER-343,12654177,,Spring-based distribution: allow to enable federation (s2s),brainlounge,brainlounge,Major,Closed,Fixed,21/Jun/13 15:17,21/Jun/13 15:52,
Bug,VYSPER-342,12653162,,Access to UTF-8 encoding and decoding is not thread safe,brainlounge,mmul,Major,Resolved,Fixed,17/Jun/13 09:45,17/Jun/13 12:51,
Bug,VYSPER-336,12617583,,is the status change right?,brainlounge,wan_jm,Major,Resolved,Fixed,26/Nov/12 09:51,07/Jun/13 21:26,
Bug,VYSPER-341,12650538,,nbxml exception parsing multiple numeric character references,brainlounge,brainlounge,Major,Resolved,Fixed,02/Jun/13 21:46,03/Jun/13 18:25,
Bug,VYSPER-330,12613111,,RequestWindow assumes PriorityQueue.iterator() is ordered,brainlounge,brainlounge,Major,Resolved,Fixed,23/Oct/12 08:23,02/May/13 02:29,
Bug,VYSPER-328,12609669,,Infinite loop in requestExpired(),brainlounge,brainlounge,Major,Resolved,Fixed,29/Sep/12 21:06,02/May/13 02:29,
New Feature,VYSPER-15,12381771,,Implement SASL authorization,,brainlounge,Major,Open,,03/Nov/07 08:32,02/May/13 02:29,
Bug,VYSPER-287,12512011,,No SASL auth mechanism available suited for unencrypted XMPP connections,,brainlounge,Major,Open,,28/Jun/11 15:53,02/May/13 02:29,
Improvement,VYSPER-179,12433827,,Deliver stanza to the highest priorized client,brainlounge,brainlounge,Major,Resolved,Fixed,24/Aug/09 08:25,02/May/13 02:29,
New Feature,VYSPER-181,12433837,,Delivery: Consider stanza delivery rules,brainlounge,brainlounge,Major,Open,,24/Aug/09 10:28,02/May/13 02:29,
Question,VYSPER-340,12634094,,Problems Performing WebSocket Handshake,,mcnamarar,Major,Open,,26/Feb/13 10:15,27/Feb/13 13:57,
Bug,VYSPER-338,12629006,,XMLParser.unescape throw exception,,yearn20m,Major,Open,,24/Jan/13 06:52,24/Jan/13 07:19,
Improvement,VYSPER-337,12624428,,Sequential processing of stanzas per StanzaRelay,brainlounge,brainlounge,Major,Open,,18/Dec/12 08:27,18/Dec/12 08:43,
Bug,VYSPER-333,12616885,,Presence probes not properly handled for multiple sessions,brainlounge,wan_jm,Major,Open,,20/Nov/12 05:49,26/Nov/12 10:08,
Bug,VYSPER-335,12617083,,NullPointerException in DefaultResourceRegistry,brainlounge,wan_jm,Major,Resolved,Fixed,21/Nov/12 10:25,21/Nov/12 11:06,
Bug,VYSPER-332,12614473,,Memory Leak in BoshBackedSessionContext,,patrickt,Major,Open,,02/Nov/12 06:36,21/Nov/12 06:23,
Question,VYSPER-323,12606110,,(VYSPER-275) Race condition in stanza handling - How does this affect the BoshEndpoint ? ,,pclare,Major,Closed,Not A Problem,04/Sep/12 17:07,23/Oct/12 09:40,
Bug,VYSPER-326,12608668,,Synchronizing on the BoshSessionContext for both inbound and outbound processing can lead to deadlock.,,pclare,Major,Closed,Not A Problem,21/Sep/12 17:30,23/Sep/12 07:49,
Bug,VYSPER-4,12381772,,Handle non UTF-8 encoded streams,,brainlounge,Major,Open,,03/Nov/07 08:33,16/Sep/12 19:34,
Bug,VYSPER-324,12607061,,Thread pool leak: QueuedStanzaProcessor.executor,brainlounge,bozaro,Major,Open,,11/Sep/12 13:22,11/Sep/12 19:38,
Bug,VYSPER-322,12599600,,Handle unresponded request having same RID,brainlounge,brainlounge,Major,Resolved,Fixed,20/Jul/12 10:00,23/Jul/12 07:23,
Bug,VYSPER-309,12551734,,BOSH plugin does not always send or recieve messages from client,brainlounge,stigrv,Major,Resolved,Fixed,20/Apr/12 07:07,23/Jul/12 07:15,
Improvement,VYSPER-321,12598524,,Record room creation and activity timestamps,brainlounge,brainlounge,Major,Resolved,Fixed,12/Jul/12 10:28,12/Jul/12 11:50,
Improvement,VYSPER-320,12559836,,Make BOSH handler easily extensible,,brainlounge,Major,Resolved,Fixed,08/Jun/12 12:30,02/Jul/12 07:23,
New Feature,VYSPER-319,12559704,,Notify OccupantStorageProvider when occupants come or leave,,brainlounge,Major,Resolved,Fixed,07/Jun/12 15:22,07/Jun/12 15:24,
New Feature,VYSPER-318,12559676,,Give Visitors voice in a room (as an option),,brainlounge,Major,Resolved,Fixed,07/Jun/12 11:50,07/Jun/12 15:24,
Bug,VYSPER-305,12548448,,Review BoshBackedSessionContext synchronization and queuing issues,brainlounge,brainlounge,Major,Resolved,Fixed,28/Mar/12 07:53,02/Jun/12 10:31,
Bug,VYSPER-317,12558836,,MUC doesn't send latest presence's inner elements,,brainlounge,Major,Resolved,Fixed,31/May/12 18:09,02/Jun/12 10:29,
Bug,VYSPER-314,12556993,,"/crossdomain.xml is not served when BoshServlet is mapped to /foo/bosh/, not root",,brainlounge,Major,Closed,Fixed,23/May/12 12:37,24/May/12 07:16,
Bug,VYSPER-315,12557007,,Support Cross-Origin-Resource-Sharing HTTP Headers,,brainlounge,Major,Resolved,Not A Problem,23/May/12 14:07,24/May/12 07:16,
Improvement,VYSPER-313,12556877,,Make MUC history accessible from outside,,brainlounge,Major,Resolved,Fixed,22/May/12 15:37,23/May/12 12:08,
New Feature,VYSPER-312,12556703,,Make some MUC features configurable,,brainlounge,Major,Resolved,Fixed,21/May/12 15:40,22/May/12 15:35,
Bug,VYSPER-311,12556027,,Respond with error when session id not matching,brainlounge,brainlounge,Major,Resolved,Fixed,16/May/12 12:52,16/May/12 13:16,
New Feature,VYSPER-302,12546774,,Log chat messages,brainlounge,stigrv,Major,Resolved,Fixed,16/Mar/12 13:01,15/May/12 15:38,
Question,VYSPER-304,12547848,,BoshBackendSessionContext: Infinite Loop writing to DelayedResponseQueue,brainlounge,pclare,Major,Resolved,Fixed,23/Mar/12 18:10,23/Apr/12 07:54,
Bug,VYSPER-306,12548459,,Websocket plugin too tightly bound to Jetty,niklas,stigrv,Major,Closed,Fixed,28/Mar/12 09:26,22/Apr/12 12:07,
Bug,VYSPER-307,12550550,,BOSH plugin too tightly bound to Jetty,brainlounge,fmancinelli,Major,Resolved,Fixed,11/Apr/12 15:16,20/Apr/12 07:07,
New Feature,VYSPER-308,12551654,,Implement BOSH XEP-0206  Section 7 Recipient-Unavailable,,brainlounge,Major,Open,,19/Apr/12 18:25,19/Apr/12 18:27,
New Feature,VYSPER-303,12547466,,Support for XEP-0085: Chat State Notifications,,thomas,Major,Resolved,Not A Problem,21/Mar/12 22:17,22/Mar/12 08:47,
Improvement,VYSPER-300,12529371,,Virtual Hosts,,ch1qu1ta,Major,Open,,29/Oct/11 17:20,18/Mar/12 19:42,
Improvement,VYSPER-295,12524513,,Support WebSockets Sec-WebSocket,niklas,chris h,Major,Closed,Fixed,24/Sep/11 14:19,07/Nov/11 18:35,
Task,VYSPER-297,12525053,,Accept client suggested resource names,brainlounge,mike.mahoney,Major,Open,,28/Sep/11 13:25,05/Oct/11 05:23,
New Feature,VYSPER-298,12525278,,Remove support for binding multiple resources to the same session,brainlounge,brainlounge,Major,Open,,30/Sep/11 07:38,30/Sep/11 07:47,
Improvement,VYSPER-296,12524881,,Module Event Listeners,,emmartins,Major,Open,,27/Sep/11 15:35,27/Sep/11 15:36,
Bug,VYSPER-294,12523520,,EhCachePresenceCacheImpl initialize CacheManager not use the configFile passed in,paliwalashish,yearn20m,Major,Reopened,,19/Sep/11 07:18,20/Sep/11 03:50,
Bug,VYSPER-293,12523292,,AbstractRosterManager does not remove contacts,brainlounge,brainlounge,Major,Resolved,Fixed,16/Sep/11 05:42,17/Sep/11 09:04,
Bug,VYSPER-292,12518175,,Detecting unexpected network disconnects,,gpgarun,Major,Resolved,Won't Fix,08/Aug/11 06:09,17/Aug/11 09:17,
Bug,VYSPER-286,12511972,,Message cannot send message to offline receiver is not sent back to client,,apolepal,Major,Resolved,Not A Problem,28/Jun/11 11:13,09/Aug/11 09:49,
Bug,VYSPER-188,12459030,,java.security.KeyStoreException running XMPPServer with Apache Harmony,niklas,jsdelfino,Major,Closed,Fixed,13/Mar/10 17:27,04/Jul/11 21:05,
Improvement,VYSPER-291,12512741,,Add configuration of keystore type,niklas,niklas,Major,Closed,Fixed,04/Jul/11 20:14,04/Jul/11 21:04,
Sub-task,VYSPER-33,12384659,12381771,Add SASL DIGEST-MD5 mechanism,,brainlounge,Major,Open,,14/Dec/07 14:02,01/Jul/11 09:17,
Improvement,VYSPER-284,12508715,,"Remove deprecated UserAuthentication.verifyCredentials(String, String, Object)",niklas,niklas,Major,Closed,Fixed,30/May/11 14:31,30/May/11 14:35,
Improvement,VYSPER-282,12504781,,Use a dedicated class for client-to-server endpoints,niklas,niklas,Major,Open,,20/Apr/11 11:24,20/Apr/11 11:24,
Bug,VYSPER-281,12502504,,Relaying to external servers should be disabled by default,niklas,niklas,Major,Closed,Fixed,27/Mar/11 13:16,27/Mar/11 13:17,
Improvement,VYSPER-280,12502172,,Support username/password authentication for SOCKS5 connections,,niklas,Major,Open,,23/Mar/11 12:16,23/Mar/11 12:16,
New Feature,VYSPER-276,12502110,,Implement XEP-0065 - SOCKS5 bytestreams,niklas,niklas,Major,Closed,Fixed,22/Mar/11 21:40,23/Mar/11 10:26,
Improvement,VYSPER-279,12502158,,Support adding modules to XMPPServer before start() is called,niklas,niklas,Major,Closed,Fixed,23/Mar/11 10:15,23/Mar/11 10:26,
Improvement,VYSPER-278,12502113,,Implement relaying of disco stanzas to full JIDs,niklas,niklas,Major,Open,,22/Mar/11 22:11,22/Mar/11 22:40,
Improvement,VYSPER-277,12502112,,Implement close lifecycle method for Modules,niklas,niklas,Major,Closed,Fixed,22/Mar/11 21:50,22/Mar/11 21:53,
Bug,VYSPER-275,12501379,,Race condition in stanza handling ,niklas,niklas,Major,Closed,Fixed,14/Mar/11 17:03,14/Mar/11 18:10,
Bug,VYSPER-272,12500535,,VCard will be returned as escaped text rather than inlined XML,niklas,niklas,Major,Closed,Fixed,06/Mar/11 07:58,06/Mar/11 12:15,
Bug,VYSPER-273,12500550,,Setting VCard for other user will not return error,niklas,niklas,Major,Closed,Fixed,06/Mar/11 12:10,06/Mar/11 12:15,
Bug,VYSPER-269,12500527,,XML from private storage will be returned as escaped text rather than inlined XML,niklas,niklas,Major,Closed,Fixed,05/Mar/11 22:37,05/Mar/11 22:46,
Bug,VYSPER-270,12500528,,Data forms interprets 0 as true for boolean fields,niklas,niklas,Major,Closed,Fixed,05/Mar/11 22:38,05/Mar/11 22:45,
Bug,VYSPER-271,12500529,,Private storage returns stream error rather than an IQ error if using an invalid user,niklas,niklas,Major,Closed,Fixed,05/Mar/11 22:41,05/Mar/11 22:45,
Improvement,VYSPER-267,12499057,,password for an entity is stored in clear text,,sdolgy,Major,Open,,18/Feb/11 15:59,18/Feb/11 15:59,
Bug,VYSPER-259,12494686,,Configuration for SpringCompatibleXMPPServer is broken,,matzew,Major,Closed,Fixed,05/Jan/11 07:39,13/Feb/11 20:45,
Bug,VYSPER-257,12493031,,Entity constructor does no String preparation,,brainlounge,Major,Closed,Fixed,12/Dec/10 15:48,13/Feb/11 20:45,
New Feature,VYSPER-61,12425815,,Server Support for XEP-0004 - Data Forms,,brainlounge,Major,Closed,Fixed,19/May/09 12:37,13/Feb/11 20:45,
New Feature,VYSPER-251,12473926,,Make BOSH endpoint more configurable,brainlounge,brainlounge,Major,Closed,Fixed,12/Sep/10 07:35,13/Feb/11 20:45,
New Feature,VYSPER-250,12473658,,Make BOSH configurable from Spring,brainlounge,brainlounge,Major,Closed,Fixed,09/Sep/10 07:25,13/Feb/11 20:45,
New Feature,VYSPER-169,12432136,,Implement Ad-Hoc Commands XEP-0050,brainlounge,brainlounge,Major,Closed,Fixed,04/Aug/09 09:19,13/Feb/11 20:45,
Sub-task,VYSPER-119,12430575,12430564,Getting Member List,,niklas,Major,Open,,15/Jul/09 22:08,13/Feb/11 20:43,
Improvement,VYSPER-248,12473387,,Include BOSH in distribution configuration,,niklas,Major,Open,,06/Sep/10 13:59,13/Feb/11 20:43,
Sub-task,VYSPER-127,12430583,12430578,Modifying the Voice List,,niklas,Major,Open,,15/Jul/09 22:12,13/Feb/11 20:43,
Sub-task,VYSPER-118,12430574,12430564,Registering with a Room,,niklas,Major,Open,,15/Jul/09 22:08,13/Feb/11 20:43,
Sub-task,VYSPER-120,12430576,12430564,Discovering Reserved Room Nickname,,niklas,Major,Open,,15/Jul/09 22:09,13/Feb/11 20:43,
Bug,VYSPER-265,12497912,,XMLTokenizer does not keep state across parsed IoBuffers,niklas,eyardeni,Major,Closed,Fixed,07/Feb/11 21:52,07/Feb/11 22:58,
Improvement,VYSPER-249,12473396,,Binary and source packages should have the full apache-vysper name,,niklas,Major,Closed,Fixed,06/Sep/10 19:23,17/Jan/11 20:41,
New Feature,VYSPER-264,12495711,,Implement XEP-0077 - In band registration,niklas,niklas,Major,Closed,Fixed,16/Jan/11 15:44,16/Jan/11 21:35,
New Feature,VYSPER-122,12430578,,MUC Moderator Use Cases,niklas,niklas,Major,In Progress,,15/Jul/09 22:10,16/Jan/11 15:35,
New Feature,VYSPER-108,12430564,,MUC Occupant Use Cases,niklas,niklas,Major,In Progress,,15/Jul/09 22:06,16/Jan/11 15:35,
New Feature,VYSPER-100,12430554,,Implement XEP-0045 Multi user chat,niklas,niklas,Major,In Progress,,15/Jul/09 21:46,16/Jan/11 15:35,
New Feature,VYSPER-139,12430595,,MUC Owner Use Cases,niklas,niklas,Major,In Progress,,15/Jul/09 22:17,16/Jan/11 15:35,
